timestamp,open,high,low,close,volume
2024-10-30 16:00:00+00:00,2683.8,2697.86,2653.43,2655.54,128910.66
2024-10-30 20:00:00+00:00,2655.54,2687.52,2636.1,2659.99,231607.11
2024-10-31 00:00:00+00:00,2659.99,2670.22,2637.89,2657.84,84906.04
2024-10-31 04:00:00+00:00,2657.84,2658.82,2632.23,2647.43,70375.4
2024-10-31 08:00:00+00:00,2647.43,2649.97,2625.01,2639.51,99387.85
2024-10-31 12:00:00+00:00,2639.51,2642.03,2541.76,2563.06,348637.32
2024-10-31 16:00:00+00:00,2563.06,2564.49,2505.63,2514.92,235891.48
2024-10-31 20:00:00+00:00,2514.92,2529.23,2501.6,2518.92,126897.43
2024-11-01 00:00:00+00:00,2518.92,2534.0,2466.09,2503.2,228925.49
2024-11-01 04:00:00+00:00,2503.2,2516.71,2485.07,2504.16,87479.48
2024-11-01 08:00:00+00:00,2504.16,2526.76,2495.16,2515.96,92427.92
2024-11-01 12:00:00+00:00,2515.96,2587.27,2480.56,2499.81,386654.13
2024-11-01 16:00:00+00:00,2499.81,2538.23,2494.54,2514.54,196852.32
2024-11-01 20:00:00+00:00,2514.54,2527.86,2484.08,2511.41,92224.31
2024-11-02 00:00:00+00:00,2511.41,2523.82,2501.58,2506.67,38550.04
2024-11-02 04:00:00+00:00,2506.67,2513.8,2498.72,2507.27,34403.15
2024-11-02 08:00:00+00:00,2507.27,2510.1,2490.67,2501.89,52448.48
2024-11-02 12:00:00+00:00,2501.89,2504.2,2467.96,2488.16,139557.62
2024-11-02 16:00:00+00:00,2488.16,2497.25,2478.54,2492.52,39668.55
2024-11-02 20:00:00+00:00,2492.52,2497.35,2484.28,2493.6,23353.47
2024-11-03 00:00:00+00:00,2493.6,2496.27,2420.01,2448.45,240274.8
2024-11-03 04:00:00+00:00,2448.45,2463.0,2440.37,2449.21,68489.05
2024-11-03 08:00:00+00:00,2449.21,2462.14,2442.74,2454.0,97707.47
2024-11-03 12:00:00+00:00,2454.0,2460.53,2410.78,2442.01,234406.0
2024-11-03 16:00:00+00:00,2442.01,2459.41,2408.09,2452.99,174717.7
2024-11-03 20:00:00+00:00,2452.99,2475.72,2445.76,2457.01,124141.87
2024-11-04 00:00:00+00:00,2457.01,2491.66,2433.69,2472.99,88752.07
2024-11-04 04:00:00+00:00,2472.99,2482.8,2456.4,2458.77,57774.31
2024-11-04 08:00:00+00:00,2458.77,2478.0,2446.08,2469.62,76240.66
2024-11-04 12:00:00+00:00,2469.62,2485.77,2430.61,2441.79,130496.85
2024-11-04 16:00:00+00:00,2441.79,2445.8,2403.17,2429.78,271465.78
2024-11-04 20:00:00+00:00,2429.78,2431.43,2355.83,2397.87,385896.49
2024-11-05 00:00:00+00:00,2397.87,2421.0,2380.01,2420.28,140357.12
2024-11-05 04:00:00+00:00,2420.28,2445.25,2417.0,2443.01,75155.71
2024-11-05 08:00:00+00:00,2443.01,2447.94,2429.6,2440.18,69511.4
2024-11-05 12:00:00+00:00,2440.18,2479.97,2426.35,2440.75,221324.35
2024-11-05 16:00:00+00:00,2440.75,2474.4,2400.0,2407.2,205605.3
2024-11-05 20:00:00+00:00,2407.2,2439.48,2400.41,2421.61,117914.94
2024-11-06 00:00:00+00:00,2421.61,2640.0,2419.39,2579.72,679007.25
2024-11-06 04:00:00+00:00,2579.72,2646.12,2560.84,2595.72,509204.02
2024-11-06 08:00:00+00:00,2595.72,2639.13,2572.76,2630.63,285321.51
2024-11-06 12:00:00+00:00,2630.63,2668.79,2607.15,2634.89,371816.93
2024-11-06 16:00:00+00:00,2634.89,2688.75,2634.0,2688.25,219032.79
2024-11-06 20:00:00+00:00,2688.25,2747.55,2670.01,2723.73,347655.58
2024-11-07 00:00:00+00:00,2723.73,2885.72,2701.05,2855.08,618538.37
2024-11-07 04:00:00+00:00,2855.08,2858.24,2781.14,2822.31,245586.36
2024-11-07 08:00:00+00:00,2822.31,2832.83,2791.73,2794.55,167233.3
2024-11-07 12:00:00+00:00,2794.55,2851.97,2773.73,2849.16,280659.01
2024-11-07 16:00:00+00:00,2849.16,2895.99,2825.75,2888.92,391202.42
2024-11-07 20:00:00+00:00,2888.92,2919.96,2865.18,2897.12,309903.98
2024-11-08 00:00:00+00:00,2897.12,2958.2,2887.64,2904.35,293446.92
2024-11-08 04:00:00+00:00,2904.35,2927.04,2892.01,2914.07,126437.13
2024-11-08 08:00:00+00:00,2914.07,2933.28,2894.78,2916.47,122687.1
2024-11-08 12:00:00+00:00,2916.47,2959.06,2904.0,2938.64,320770.08
2024-11-08 16:00:00+00:00,2938.64,2984.62,2891.41,2951.67,389074.97
2024-11-08 20:00:00+00:00,2951.67,2978.93,2916.66,2964.21,210173.11
2024-11-09 00:00:00+00:00,2964.21,2997.45,2956.86,2966.75,206273.98
2024-11-09 04:00:00+00:00,2966.75,3062.0,2953.56,3032.4,325514.87
2024-11-09 08:00:00+00:00,3032.4,3058.99,3022.63,3053.46,159330.27
2024-11-09 12:00:00+00:00,3053.46,3057.0,3028.5,3042.26,121676.67
2024-11-09 16:00:00+00:00,3042.26,3097.1,2992.0,3072.38,284857.49
2024-11-09 20:00:00+00:00,3072.38,3160.57,3067.21,3128.16,274423.32
2024-11-10 00:00:00+00:00,3128.16,3155.75,3105.29,3137.06,195615.09
2024-11-10 04:00:00+00:00,3137.06,3223.88,3132.29,3186.73,422295.23
2024-11-10 08:00:00+00:00,3186.73,3233.8,3169.26,3223.29,256728.67
2024-11-10 12:00:00+00:00,3223.29,3240.89,3170.01,3211.66,255817.38
2024-11-10 16:00:00+00:00,3211.66,3252.81,3145.0,3165.7,426359.84
2024-11-10 20:00:00+00:00,3165.7,3230.4,3070.72,3186.15,572321.42
2024-11-11 00:00:00+00:00,3186.15,3225.35,3173.73,3197.58,171227.92
2024-11-11 04:00:00+00:00,3197.58,3199.88,3106.56,3142.01,244641.31
2024-11-11 08:00:00+00:00,3142.01,3215.69,3134.05,3201.24,217754.04
2024-11-11 12:00:00+00:00,3201.24,3266.4,3138.83,3240.59,645801.3
2024-11-11 16:00:00+00:00,3240.59,3349.68,3236.58,3302.09,653958.26
2024-11-11 20:00:00+00:00,3302.09,3392.12,3280.02,3374.62,583236.83
2024-11-12 00:00:00+00:00,3374.62,3378.15,3245.4,3339.81,474286.12
2024-11-12 04:00:00+00:00,3339.81,3397.87,3320.06,3371.45,317812.05
2024-11-12 08:00:00+00:00,3371.45,3449.72,3214.0,3285.28,758603.09
2024-11-12 12:00:00+00:00,3285.28,3300.12,3211.01,3263.42,458345.61
2024-11-12 16:00:00+00:00,3263.42,3308.58,3211.37,3275.27,342984.08
2024-11-12 20:00:00+00:00,3275.27,3307.7,3237.37,3245.38,222628.48
2024-11-13 00:00:00+00:00,3245.38,3287.59,3203.16,3209.7,242093.83
2024-11-13 04:00:00+00:00,3209.7,3232.37,3114.87,3162.43,327671.28
2024-11-13 08:00:00+00:00,3162.43,3194.88,3142.22,3169.84,175791.6
2024-11-13 12:00:00+00:00,3169.84,3331.66,3153.57,3312.67,541261.94
2024-11-13 16:00:00+00:00,3312.67,3335.4,3155.68,3160.33,477559.2
2024-11-13 20:00:00+00:00,3160.33,3200.06,3118.01,3189.16,303193.59
2024-11-14 00:00:00+00:00,3189.16,3230.54,3165.35,3219.72,145883.37
2024-11-14 04:00:00+00:00,3219.72,3243.32,3175.13,3219.41,157778.24
2024-11-14 08:00:00+00:00,3219.41,3233.69,3156.47,3187.35,183682.49
2024-11-14 12:00:00+00:00,3187.35,3201.34,3058.32,3078.64,403568.71
2024-11-14 16:00:00+00:00,3078.64,3184.25,3071.77,3147.67,247985.21
2024-11-14 20:00:00+00:00,3147.67,3147.67,3028.37,3060.08,288455.93
2024-11-15 00:00:00+00:00,3060.08,3094.36,3035.0,3084.03,134966.95
2024-11-15 04:00:00+00:00,3084.03,3084.03,3015.0,3039.73,158323.84
2024-11-15 08:00:00+00:00,3039.73,3116.13,3022.39,3105.91,156053.61
2024-11-15 12:00:00+00:00,3105.91,3133.35,3014.25,3024.19,280672.61
2024-11-15 16:00:00+00:00,3024.19,3062.18,3015.9,3041.2,175386.36
2024-11-15 20:00:00+00:00,3041.2,3122.53,3039.6,3091.74,188751.95
2024-11-16 00:00:00+00:00,3091.74,3159.89,3073.5,3157.86,112011.83
2024-11-16 04:00:00+00:00,3157.86,3167.78,3103.99,3109.03,104339.03
2024-11-16 08:00:00+00:00,3109.03,3199.22,3105.6,3198.41,145040.52
2024-11-16 12:00:00+00:00,3198.41,3225.12,3122.31,3143.06,263561.76
2024-11-16 16:00:00+00:00,3143.06,3187.61,3130.0,3171.9,110792.74
2024-11-16 20:00:00+00:00,3171.9,3178.07,3123.35,3134.77,82578.61
2024-11-17 00:00:00+00:00,3134.77,3156.02,3035.04,3081.84,217553.99
2024-11-17 04:00:00+00:00,3081.84,3150.65,3076.86,3139.44,161916.61
2024-11-17 08:00:00+00:00,3139.44,3165.76,3102.6,3107.26,164366.13
2024-11-17 12:00:00+00:00,3107.26,3129.45,3068.54,3088.06,153981.98
2024-11-17 16:00:00+00:00,3088.06,3118.8,3073.19,3100.99,125370.73
2024-11-17 20:00:00+00:00,3100.99,3110.56,3044.18,3078.03,174142.19
2024-11-18 00:00:00+00:00,3078.03,3127.7,3071.4,3115.3,106440.86
2024-11-18 04:00:00+00:00,3115.3,3154.72,3099.2,3133.95,133133.41
2024-11-18 08:00:00+00:00,3133.95,3144.18,3052.84,3058.59,196946.8
2024-11-18 12:00:00+00:00,3058.59,3161.77,3052.06,3146.8,314863.91
2024-11-18 16:00:00+00:00,3146.8,3203.75,3092.03,3129.56,424024.69
2024-11-18 20:00:00+00:00,3129.56,3228.22,3124.79,3210.93,257389.59
2024-11-19 00:00:00+00:00,3210.93,3225.39,3145.0,3151.08,167482.84
2024-11-19 04:00:00+00:00,3151.08,3162.49,3109.9,3120.17,145755.13
2024-11-19 08:00:00+00:00,3120.17,3133.0,3091.7,3128.79,140595.23
2024-11-19 12:00:00+00:00,3128.79,3152.96,3075.07,3107.03,236355.9
2024-11-19 16:00:00+00:00,3107.03,3148.64,3101.57,3124.63,159944.37
2024-11-19 20:00:00+00:00,3124.63,3134.0,3066.63,3109.37,233130.03
2024-11-20 00:00:00+00:00,3109.37,3133.33,3072.6,3098.55,130404.96
2024-11-20 04:00:00+00:00,3098.55,3117.96,3089.59,3111.64,62496.56
2024-11-20 08:00:00+00:00,3111.64,3138.2,3085.31,3101.87,138592.9
2024-11-20 12:00:00+00:00,3101.87,3162.0,3083.1,3132.19,338855.43
2024-11-20 16:00:00+00:00,3132.19,3137.39,3030.04,3059.04,336065.77
2024-11-20 20:00:00+00:00,3059.04,3094.57,3045.15,3071.1,122349.63
2024-11-21 00:00:00+00:00,3071.1,3103.68,3033.33,3083.35,159381.19
2024-11-21 04:00:00+00:00,3083.35,3147.01,3082.0,3139.51,287129.96
2024-11-21 08:00:00+00:00,3139.51,3157.83,3120.02,3150.29,165764.06
2024-11-21 12:00:00+00:00,3150.29,3376.88,3148.46,3280.0,1043672.9
2024-11-21 16:00:00+00:00,3280.0,3391.4,3280.0,3349.92,388421.37
2024-11-21 20:00:00+00:00,3349.92,3382.9,3336.71,3358.87,175725.96
2024-11-22 00:00:00+00:00,3358.87,3384.44,3307.0,3369.06,230536.68
2024-11-22 04:00:00+00:00,3369.06,3432.0,3357.6,3365.15,261711.23
2024-11-22 08:00:00+00:00,3365.15,3388.3,3313.62,3347.99,210370.66
2024-11-22 12:00:00+00:00,3347.99,3360.38,3260.0,3316.6,400891.37
2024-11-22 16:00:00+00:00,3316.6,3324.86,3266.0,3284.93,184006.85
